,Mmsi,Raim,AtonFlag,Latitude,ModeFlag,SenderId,Longitude,AtonStatus,NavAidName,NavAidType,OnPosition,MessageType,RepeatCount,TimeUnixSec,CountPublish,DimensionInfo,DimensionToBowM,MsgUtcTimestamp,DimensionToPortM,DimensionToStbdM,IsDimensionValid,PositionAccuracy,DimensionToSternM,IsOnPositionValid,ElectronicPosFixDeviceType,UTCDate,UTCTime,SOTDMAStatus,IsAISTimeUnixSecValid,ElectronicPositionFixingDevice,Spare,RadioStatus,TrueHeading,AisRateOfTurn,RateOfTurnDeg,SpeedOverGround,CourseOverGround,NavigationStatus,ManeuverIndicator,AisMsgUtcTimestamp,DscFlag,BandFlag,RaimFlag,UnitFlag,numFlags,CommState,DisplayFlag,FlagBooleans,Message22Flag,IsHeadingValid,AisUtcTimeStamp,CommStateSelectorFlagMessage
18463,367327080,RAIM not in use (default),,40.04368,,gss-desktop:1875,-73.97503333333333,,,,,1,0,1690376225.546555,46,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,5.800000000000001,126.60000000000001,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18481,367327080,RAIM in use,,40.04358166666667,,gss-desktop:1875,-73.97486333333333,,,,,1,0,1690376231.953049,47,,,,,,,Low (> 10m),,,,,,,,,0.0,164286,511.0,-128.0,-731.386484054556,5.9,128.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18495,367327080,RAIM in use,,40.04349,,gss-desktop:1875,-73.97471333333333,,,,,1,0,1690376237.610044,48,,,,,,,Low (> 10m),,,,,,,,,0.0,213040,511.0,-128.0,-731.386484054556,4.9,127.7,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18510,367327080,RAIM in use,,40.04342833333333,,gss-desktop:1875,-73.97462833333333,,,,,1,0,1690376243.4313638,49,,,,,,,Low (> 10m),,,,,,,,,0.0,164716,511.0,-128.0,-731.386484054556,3.8000000000000003,128.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18527,367327080,RAIM in use,,40.043373333333335,,gss-desktop:1875,-73.974525,,,,,1,0,1690376249.2588499,50,,,,,,,Low (> 10m),,,,,,,,,0.0,164935,511.0,-128.0,-731.386484054556,3.1,130.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18544,367327080,RAIM in use,,40.04331166666667,,gss-desktop:1875,-73.97441666666667,,,,,1,0,1690376255.267217,51,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,3.7,127.60000000000001,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18561,367327080,RAIM in use,,40.04326833333333,,gss-desktop:1875,-73.97434,,,,,1,0,1690376261.369895,52,,,,,,,Low (> 10m),,,,,,,,,0.0,180272,511.0,-128.0,-731.386484054556,3.2,129.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18572,367327080,RAIM in use,,40.043005,,gss-desktop:1875,-73.97420166666667,,,,,1,0,1690376309.2560809,53,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,0.8,159.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18582,367327080,RAIM in use,,40.042988333333334,,gss-desktop:1875,-73.97418833333333,,,,,1,0,1690376315.264365,54,,,,,,,Low (> 10m),,,,,,,,,0.0,165160,511.0,-128.0,-731.386484054556,0.7000000000000001,161.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18593,367327080,RAIM in use,,40.042985,,gss-desktop:1875,-73.97416666666666,,,,,3,0,1690376321.367826,55,,,,,,,Low (> 10m),,,,,,,,,0.0,143409,511.0,-128.0,-731.386484054556,0.7000000000000001,154.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18604,367327080,RAIM in use,,40.04297833333333,,gss-desktop:1875,-73.97415333333333,,,,,3,0,1690376327.823098,56,,,,,,,Low (> 10m),,,,,,,,,0.0,133200,511.0,-128.0,-731.386484054556,0.5,148.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18764,367327080,RAIM in use,,40.04286166666667,,gss-desktop:1875,-73.97406166666667,,,,,1,0,1690376750.7275379,57,,,,,,,Low (> 10m),,,,,,,,,0.0,198508,511.0,-128.0,-731.386484054556,1.2000000000000002,145.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18795,367327080,RAIM in use,,40.042813333333335,,gss-desktop:1875,-73.974005,,,,,1,0,1690376761.928964,58,,,,,,,Low (> 10m),,,,,,,,,0.0,133308,511.0,-128.0,-731.386484054556,0.30000000000000004,122.10000000000001,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18821,367327080,RAIM in use,,40.042833333333334,,gss-desktop:1875,-73.97402333333334,,,,,1,0,1690376771.755241,59,,,,,,,Low (> 10m),,,,,,,,,0.0,164279,511.0,-128.0,-731.386484054556,0.6000000000000001,34.2,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18848,367327080,RAIM in use,,40.04285333333333,,gss-desktop:1875,-73.97404666666667,,,,,1,0,1690376781.597281,60,,,,,,,Low (> 10m),,,,,,,,,0.0,245786,511.0,-128.0,-731.386484054556,1.2000000000000002,2.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18879,367327080,RAIM in use,,40.04290833333334,,gss-desktop:1875,-73.97400166666667,,,,,1,0,1690376792.0625038,61,,,,,,,Low (> 10m),,,,,,,,,0.0,165040,511.0,-128.0,-731.386484054556,0.8,62.300000000000004,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18906,367327080,RAIM in use,,40.042925,,gss-desktop:1875,-73.973985,,,,,1,0,1690376802.240747,62,,,,,,,Low (> 10m),,,,,,,,,0.0,165422,511.0,-128.0,-731.386484054556,1.4000000000000001,20.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18925,367327080,RAIM not in use (default),,40.043018333333336,,gss-desktop:1875,-73.97404,,,,,1,0,1690376810.7247908,63,,,,,,,Low (> 10m),,,,,,,,,0.0,180250,511.0,-128.0,-731.386484054556,2.9000000000000004,332.70000000000005,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18945,367327080,RAIM in use,,40.043135,,gss-desktop:1875,-73.97408833333333,,,,,1,0,1690376821.542376,64,,,,,,,Low (> 10m),,,,,,,,,0.0,229432,511.0,-128.0,-731.386484054556,3.8000000000000003,347.20000000000005,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18961,367327080,RAIM in use,,40.04338,,gss-desktop:1875,-73.97416333333334,,,,,1,0,1690376831.7684488,65,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,5.2,342.20000000000005,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18979,367327080,RAIM in use,,40.043668333333336,,gss-desktop:1875,-73.97425166666666,,,,,1,0,1690376841.60965,66,,,,,,,Low (> 10m),,,,,,,,,0.0,230184,511.0,-128.0,-731.386484054556,5.800000000000001,0.2,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
18998,367327080,RAIM in use,,40.043905,,gss-desktop:1875,-73.974185,,,,,1,0,1690376852.0600889,67,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,6.0,10.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19003,367327080,RAIM in use,,40.04548,,gss-desktop:1875,-73.97453666666667,,,,,1,0,1690376901.610432,68,,,,,,,Low (> 10m),,,,,,,,,0.0,213016,511.0,-128.0,-731.386484054556,7.7,348.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19143,367327080,RAIM in use,,40.051455,,gss-desktop:1875,-73.97551833333333,,,,,1,0,1690377181.555574,69,,,,,,,Low (> 10m),,,,,,,,,0.0,133350,511.0,-128.0,-731.386484054556,1.1,138.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19192,367327080,RAIM in use,,40.051341666666666,,gss-desktop:1875,-73.975475,,,,,1,0,1690377211.7083988,70,,,,,,,Low (> 10m),,,,,,,,,0.0,245780,511.0,-128.0,-731.386484054556,1.0,149.20000000000002,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19211,367327080,RAIM not in use (default),,40.05131166666666,,gss-desktop:1875,-73.97543666666667,,,,,1,0,1690377221.550828,71,,,,,,,Low (> 10m),,,,,,,,,0.0,165396,511.0,-128.0,-731.386484054556,1.0,147.0,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19246,367327080,RAIM in use,,40.05121833333333,,gss-desktop:1875,-73.97545666666667,,,,,1,0,1690377242.289379,72,,,,,,,Low (> 10m),,,,,,,,,0.0,213012,511.0,-128.0,-731.386484054556,0.9,159.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19260,367327080,RAIM in use,,40.051183333333334,,gss-desktop:1875,-73.97545166666667,,,,,1,0,1690377250.531667,73,,,,,,,Low (> 10m),,,,,,,,,0.0,213012,511.0,-128.0,-731.386484054556,1.1,158.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19294,367327080,RAIM in use,,40.051116666666665,,gss-desktop:1875,-73.97530666666667,,,,,1,0,1690377271.7029479,74,,,,,,,Low (> 10m),,,,,,,,,0.0,230563,511.0,-128.0,-731.386484054556,0.7000000000000001,139.8,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19313,367327080,RAIM in use,,40.05108333333333,,gss-desktop:1875,-73.97529333333334,,,,,1,0,1690377281.545938,75,,,,,,,Low (> 10m),,,,,,,,,0.0,159984,511.0,-128.0,-731.386484054556,0.8,160.3,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19480,367327080,RAIM in use,,40.05123,,gss-desktop:1875,-73.97477833333333,,,,,1,0,1690377530.596294,76,,,,,,,Low (> 10m),,,,,,,,,0.0,198503,511.0,-128.0,-731.386484054556,0.6000000000000001,145.4,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19501,367327080,RAIM in use,,40.05119666666667,,gss-desktop:1875,-73.97475166666666,,,,,1,0,1690377542.2925858,77,,,,,,,Low (> 10m),,,,,,,,,0.0,133302,511.0,-128.0,-731.386484054556,0.9,127.5,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19532,367327080,RAIM in use,,40.05155833333333,,gss-desktop:1875,-73.97477333333333,,,,,1,0,1690377560.780171,78,,,,,,,Low (> 10m),,,,,,,,,0.0,164617,511.0,-128.0,-731.386484054556,5.800000000000001,346.20000000000005,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
19614,367327080,RAIM in use,,40.052906666666665,,gss-desktop:1875,-73.97517166666667,,,,,1,0,1690377611.464541,79,,,,,,,Low (> 10m),,,,,,,,,0.0,213013,511.0,-128.0,-731.386484054556,7.0,346.6,Under way using engine,Not available (default),60.0,,,,,,,,,,,,
